using ndc
-0.0990218 -0.253518 0.60612
-0.0979917 -0.250388 0.61176
-0.0953772 -0.254022 0.605793
-0.102669 -0.309287 0.725982
-0.102697 -0.306919 0.718583
-0.0989301 -0.309441 0.725648
-0.0997213 -0.306876 0.716703
-0.0966108 -0.306675 0.710702
-0.102659 -0.312346 0.738075
-0.0987871 -0.312558 0.737942
-0.102652 -0.313632 0.744026
-0.0989031 -0.313828 0.743922
-0.102645 -0.314913 0.750087
-0.0990829 -0.315075 0.75001
-0.0511955 -0.286642 0.745804
-0.051827 -0.289757 0.746138
-0.0487173 -0.28695 0.740061
-0.0494425 -0.290317 0.740416
-0.0487641 -0.252485 0.688038
-0.0504269 -0.248958 0.677512
-0.0507427 -0.252367 0.691517
-0.0525908 -0.24883 0.68117
-0.047837 -0.255997 0.697784
-0.0496916 -0.255874 0.701001
-0.0906028 -0.242715 0.628331
-0.0949095 -0.24389 0.627872
-0.0913876 -0.241602 0.631481
-0.0953383 -0.242385 0.631005
-0.0990024 -0.242656 0.630432
-0.098793 -0.244337 0.627212
-0.0984149 -0.246143 0.62314
-0.102432 -0.242752 0.630166
-0.102455 -0.244485 0.626877
-0.10248 -0.246306 0.622715
-0.0629412 -0.305986 0.75618
-0.062454 -0.304456 0.757634
-0.0649203 -0.306177 0.762206
-0.0643695 -0.304767 0.76344
-0.0638617 -0.303237 0.76487
-0.0620143 -0.302819 0.75926
-0.0603521 -0.302508 0.75416
-0.0634356 -0.301585 0.766518
-0.0616306 -0.30108 0.760983
-0.0791825 -0.2387 0.636708
-0.0832186 -0.239451 0.636066
-0.0872617 -0.240235 0.635713
-0.0796452 -0.238512 0.641464
-0.0834456 -0.239098 0.640134
-0.087125 -0.239704 0.639244
-0.0909464 -0.240897 0.635345
-0.0943804 -0.241388 0.634728
-0.090165 -0.240116 0.638829
-0.093098 -0.240404 0.638043
-0.096338 -0.240216 0.63686
-0.0977906 -0.241394 0.633831
-0.0999322 -0.239907 0.635716
-0.101184 -0.241278 0.633135
-0.0800153 -0.237654 0.645727
-0.0836285 -0.23812 0.643543
-0.0873423 -0.238877 0.641859
-0.0800676 -0.235994 0.647952
-0.0837302 -0.236188 0.644559
-0.0882749 -0.237016 0.642049
-0.0754995 -0.238173 0.638182
-0.0761622 -0.23822 0.643634
-0.0717007 -0.238444 0.642085
-0.0727904 -0.238215 0.646691
-0.0737778 -0.237961 0.652954
-0.0768059 -0.237578 0.648841
-0.0748068 -0.236466 0.659343
-0.0772109 -0.236071 0.652113
-0.0641791 -0.240656 0.655152
-0.0678814 -0.23926 0.647789
-0.0657886 -0.240305 0.658447
-0.0691943 -0.238887 0.65162
-0.0669512 -0.23998 0.662933
-0.0705043 -0.238668 0.657005
-0.0685666 -0.239503 0.668704
-0.0718552 -0.238211 0.664438
-0.0607399 -0.242628 0.663998
-0.0631403 -0.242009 0.666655
-0.0577081 -0.245276 0.674107
-0.0609828 -0.244263 0.678306
-0.0528986 -0.252003 0.6951
-0.0549246 -0.248519 0.684887
-0.0552503 -0.251482 0.69889
-0.0575433 -0.248016 0.689559
-0.0839086 -0.316577 0.756598
-0.0812077 -0.316436 0.755476
-0.0787411 -0.316256 0.754929
-0.0766384 -0.316048 0.755077
-0.0747786 -0.315736 0.755846
-0.0910572 -0.239266 0.640709
-0.0945394 -0.238869 0.63927
-0.098644 -0.23837 0.637665
-0.0931735 -0.236486 0.639493
-0.0980667 -0.235944 0.637722
-0.0718253 -0.239734 0.684274
-0.0739861 -0.240208 0.69144
-0.0768171 -0.241063 0.699021
-0.0685349 -0.24221 0.689144
-0.0704807 -0.242731 0.695687
-0.0721757 -0.243657 0.702069
-0.0652157 -0.244875 0.694229
-0.0668027 -0.245413 0.699782
-0.0682428 -0.246144 0.704918
-0.0691348 -0.247662 0.711294
-0.0729878 -0.245365 0.709214
-0.0770792 -0.243535 0.707941
-0.0700112 -0.249565 0.718376
-0.0735633 -0.247503 0.716768
-0.0773268 -0.245959 0.715928
-0.0859037 -0.240313 0.704328
-0.081672 -0.240491 0.702037
-0.0864138 -0.239207 0.700779
-0.0825897 -0.239023 0.697523
-0.079111 -0.238801 0.693237
-0.0867291 -0.238263 0.697909
-0.0833483 -0.237888 0.694223
-0.0803587 -0.237502 0.689752
-0.0764886 -0.238414 0.687492
-0.0745174 -0.238169 0.680815
-0.0779542 -0.237164 0.684452
-0.0762022 -0.236904 0.678162
-0.0626901 -0.247708 0.70045
-0.0645947 -0.248501 0.706836
-0.0605101 -0.25116 0.708173
-0.0617223 -0.253167 0.716039
-0.0653829 -0.250265 0.713553
-0.063135 -0.254961 0.723052
-0.0665016 -0.252102 0.720516
-0.070032 -0.239502 0.67642
-0.0665655 -0.241878 0.681567
-0.0630586 -0.244659 0.687509
-0.0650661 -0.241539 0.673191
-0.0730323 -0.238027 0.672866
-0.0750775 -0.236519 0.669743
-0.0680671 -0.309977 0.765044
-0.0677113 -0.308783 0.766305
-0.0673122 -0.307622 0.767377
-0.0667953 -0.306425 0.768366
-0.0662268 -0.305139 0.769448
-0.0814035 -0.242515 0.708543
-0.085888 -0.24197 0.709656
-0.0814779 -0.244917 0.715976
-0.0860012 -0.244259 0.71648
-0.0907634 -0.243861 0.716996
-0.0904614 -0.24163 0.710461
-0.0898468 -0.240054 0.70528
-0.0952309 -0.243689 0.717504
-0.0947981 -0.241443 0.711021
-0.0940173 -0.239528 0.705111
-0.0901581 -0.238746 0.701254
-0.08628 -0.246962 0.724179
-0.0910428 -0.246566 0.724507
-0.095483 -0.246411 0.724897
-0.0867179 -0.250057 0.732653
-0.0913702 -0.24965 0.732815
-0.0956984 -0.249486 0.733075
-0.0992038 -0.249491 0.733341
-0.0990972 -0.246428 0.725273
-0.0989483 -0.243706 0.718015
-0.102195 -0.249525 0.733469
-0.102194 -0.24647 0.725452
-0.102193 -0.243753 0.718273
-0.102194 -0.241588 0.712258
-0.0987136 -0.241524 0.711865
-0.102194 -0.239768 0.707248
-0.0984826 -0.239674 0.706649
-0.0777778 -0.248642 0.724127
-0.0817991 -0.247645 0.72399
-0.0784454 -0.251698 0.732859
-0.0823456 -0.250748 0.732656
-0.0537436 -0.266884 0.734928
-0.0553067 -0.263961 0.731876
-0.0573928 -0.261011 0.728835
-0.0557666 -0.267842 0.740111
-0.0572921 -0.265151 0.737562
-0.0592917 -0.262471 0.735029
-0.0576062 -0.269127 0.745229
-0.0591522 -0.266688 0.743458
-0.0611141 -0.264266 0.741543
-0.0634495 -0.261745 0.739566
-0.0617682 -0.259692 0.732517
-0.060042 -0.257976 0.725863
-0.0660708 -0.259198 0.737597
-0.0646017 -0.256895 0.730077
-0.0554683 -0.259643 0.722467
-0.0532959 -0.2629 0.726081
-0.0516521 -0.26606 0.72947
-0.0535587 -0.258076 0.715247
-0.0514403 -0.261797 0.720158
-0.0583417 -0.256386 0.719205
-0.0568129 -0.25476 0.712361
-0.0590029 -0.271109 0.750476
-0.0608246 -0.268864 0.749865
-0.0628112 -0.266502 0.748571
-0.0602091 -0.27401 0.756457
-0.0623703 -0.271402 0.756416
-0.0643562 -0.268972 0.755634
-0.0523411 -0.269955 0.736968
-0.054535 -0.270618 0.742158
-0.0565614 -0.271455 0.746968
-0.0534191 -0.273344 0.743577
-0.0555934 -0.27377 0.74818
-0.0577063 -0.273939 0.752082
-0.049908 -0.269048 0.730713
-0.0509658 -0.258856 0.712078
-0.0541597 -0.254602 0.706974
-0.0517202 -0.255457 0.704181
-0.0575506 -0.251398 0.703422
-0.0600509 -0.247931 0.695454
-0.0516001 -0.279651 0.745427
-0.0524096 -0.276348 0.744709
-0.0540441 -0.279795 0.75051
-0.0547864 -0.276614 0.749587
-0.0579069 -0.294239 0.757609
-0.0579679 -0.291757 0.759792
-0.0596442 -0.294421 0.762523
-0.0597671 -0.291998 0.764694
-0.0600117 -0.289537 0.766378
-0.0583845 -0.289193 0.761955
-0.0603828 -0.287083 0.767518
-0.058885 -0.286598 0.763382
-0.0613546 -0.299209 0.762917
-0.061235 -0.297142 0.765151
-0.0631445 -0.299775 0.768488
-0.062943 -0.297785 0.770542
-0.062845 -0.295585 0.772635
-0.0612349 -0.29487 0.767432
-0.0628476 -0.293303 0.774484
-0.0613317 -0.2925 0.769442
-0.0588456 -0.302296 0.749769
-0.0563352 -0.28003 0.755153
-0.0570655 -0.276906 0.754063
-0.0583753 -0.280495 0.75957
-0.059212 -0.277451 0.75859
-0.0485362 -0.283229 0.739744
-0.0511497 -0.283179 0.745691
-0.0536034 -0.283134 0.750979
-0.0558249 -0.283219 0.755626
-0.0577648 -0.283463 0.759874
-0.0601162 -0.281267 0.763972
-0.0610687 -0.278606 0.763583
-0.0623078 -0.275998 0.762972
-0.061635 -0.282289 0.768447
-0.0626385 -0.279971 0.768551
-0.0638849 -0.277751 0.768533
-0.0653422 -0.275675 0.768438
-0.0639427 -0.273659 0.762685
-0.0669738 -0.273738 0.768215
-0.0657448 -0.271488 0.762253
-0.069327 -0.277588 0.778858
-0.0680036 -0.279212 0.77912
-0.0666468 -0.280952 0.779011
-0.0681022 -0.275741 0.773643
-0.0666226 -0.277493 0.773782
-0.0652491 -0.279379 0.773726
-0.0645815 -0.285197 0.779185
-0.0654413 -0.282852 0.778777
-0.0661786 -0.285884 0.784715
-0.0669589 -0.284159 0.784366
-0.0681918 -0.282493 0.784613
-0.072406 -0.275058 0.778588
-0.07076 -0.276374 0.778947
-0.0716214 -0.272646 0.773129
-0.0697249 -0.274167 0.773444
-0.0708062 -0.270163 0.76732
-0.0687694 -0.271911 0.767819
-0.0696428 -0.280894 0.784691
-0.0709807 -0.279128 0.783923
-0.0709379 -0.251817 0.725963
-0.071938 -0.254539 0.734234
-0.0677004 -0.25419 0.727813
-0.0689301 -0.256711 0.735733
-0.0674932 -0.261937 0.745695
-0.0701623 -0.259706 0.744289
-0.0729968 -0.257744 0.743144
-0.0687792 -0.264816 0.75365
-0.0713064 -0.26284 0.752665
-0.0740333 -0.261077 0.751832
-0.0750453 -0.252906 0.73332
-0.0742303 -0.249991 0.724745
-0.0759811 -0.256241 0.742424
-0.0792841 -0.255098 0.742017
-0.0769666 -0.259665 0.751245
-0.0802288 -0.25855 0.750856
-0.0650358 -0.264223 0.747159
-0.0664637 -0.266851 0.754666
-0.0830763 -0.254175 0.741773
-0.0873138 -0.253484 0.741675
-0.0839325 -0.257648 0.7506
-0.0880195 -0.256971 0.750466
-0.0749916 -0.264232 0.759623
-0.0779494 -0.2629 0.759154
-0.0812289 -0.261813 0.758803
-0.0758841 -0.267125 0.766467
-0.0789185 -0.265862 0.766096
-0.0822522 -0.264809 0.765796
-0.0858434 -0.26398 0.765603
-0.0848667 -0.260943 0.758568
-0.0896145 -0.26339 0.765525
-0.0887935 -0.260301 0.758446
-0.0843588 -0.27042 0.77811
-0.0808863 -0.271396 0.778298
-0.0776291 -0.27256 0.778514
-0.083286 -0.267575 0.772015
-0.079883 -0.268589 0.772265
-0.0767435 -0.269795 0.77256
-0.0747585 -0.273856 0.778668
-0.0729906 -0.277672 0.783859
-0.0755745 -0.276807 0.784665
-0.078572 -0.275613 0.78473
-0.0819357 -0.274485 0.784619
-0.085461 -0.273548 0.784513
-0.07397 -0.271174 0.772857
-0.0731754 -0.268572 0.766872
-0.0723034 -0.265821 0.760208
-0.0698747 -0.267569 0.760868
-0.0878815 -0.269685 0.778023
-0.0868439 -0.266794 0.771874
-0.0913657 -0.269209 0.77806
-0.0904719 -0.266265 0.771857
-0.0976764 -0.26891 0.778399
-0.0947086 -0.268982 0.778211
-0.0972686 -0.265871 0.772105
-0.0940468 -0.265983 0.771955
-0.0968937 -0.262877 0.765649
-0.0934217 -0.263041 0.765556
-0.0889333 -0.272853 0.784485
-0.092264 -0.272413 0.784557
-0.0918007 -0.253058 0.741725
-0.0959624 -0.252864 0.741873
-0.0923022 -0.256541 0.750456
-0.0962579 -0.256326 0.750529
-0.0993274 -0.252837 0.742044
-0.102196 -0.252856 0.742129
-0.0994611 -0.256269 0.750634
-0.102198 -0.256274 0.750691
-0.0928422 -0.259898 0.758434
-0.0965625 -0.259695 0.758494
-0.0997399 -0.262828 0.765749
-0.0995939 -0.259633 0.75858
-0.102206 -0.262826 0.765798
-0.102201 -0.259631 0.758626
-0.0953727 -0.272212 0.784722
-0.0980879 -0.272152 0.78491
-0.0652693 -0.302167 0.77248
-0.0649161 -0.300475 0.774319
-0.0646395 -0.298589 0.776269
-0.0656923 -0.303732 0.770767
-0.0629572 -0.291085 0.775876
-0.0615141 -0.290153 0.770935
-0.0631934 -0.288979 0.776839
-0.061814 -0.28787 0.771947
-0.0644454 -0.296475 0.778261
-0.0643495 -0.294287 0.780019
-0.0636388 -0.287005 0.777636
-0.063036 -0.283538 0.77321
-0.062287 -0.285664 0.772613
-0.0608994 -0.284665 0.768151
-0.0643766 -0.292208 0.781338
-0.0645366 -0.290308 0.78225
-0.0640241 -0.281388 0.773485
-0.0648602 -0.288654 0.782973
-0.0654582 -0.287415 0.784215
-0.0691593 -0.312492 0.761966
-0.0685027 -0.311245 0.763567
-0.0959072 -0.316548 0.756084
-0.0925644 -0.316767 0.756421
-0.0894372 -0.316833 0.757016
-0.0866775 -0.316667 0.757802
-0.071462 -0.31452 0.758719
-0.0701514 -0.313599 0.760343
-0.0594214 -0.283944 0.763973
-0.0676992 -0.269404 0.761562
-0.0730324 -0.315234 0.757137
-0.100105 -0.268896 0.778546
-0.0999126 -0.265844 0.772235
-0.102216 -0.268896 0.778605
-0.102211 -0.265844 0.772292
-0.100301 -0.272134 0.785045
-0.102223 -0.272129 0.785097
-0.102507 -0.248181 0.617446
-0.0980129 -0.248058 0.617831
-0.102665 -0.310997 0.732246
-0.0987841 -0.311193 0.732053
-0.0992777 -0.3163 0.756027
-0.102638 -0.316179 0.756064
-0.0885834 -0.254566 0.596968
-0.0853097 -0.254304 0.591114
-0.0906648 -0.259027 0.596403
-0.087328 -0.258413 0.59099
-0.0889478 -0.263101 0.59384
-0.0902378 -0.26891 0.601557
-0.0922483 -0.264092 0.599074
-0.0933992 -0.270038 0.606648
-0.0911351 -0.275016 0.613046
-0.091704 -0.281148 0.626928
-0.0941487 -0.276302 0.618781
-0.0946273 -0.28237 0.633513
-0.0940692 -0.259226 0.601045
-0.095535 -0.264277 0.602627
-0.0964909 -0.270412 0.609745
-0.0919909 -0.254735 0.602599
-0.0432604 -0.296859 0.719182
-0.0416038 -0.293722 0.718488
-0.0449427 -0.295525 0.724887
-0.0434155 -0.292519 0.724297
-0.0465159 -0.294415 0.729859
-0.045162 -0.291501 0.729306
-0.0414599 -0.298333 0.712483
-0.0434624 -0.301124 0.713184
-0.0452013 -0.299497 0.719895
-0.0453817 -0.303433 0.713621
-0.0472503 -0.301758 0.720926
-0.049323 -0.300145 0.728796
-0.0468631 -0.297966 0.725967
-0.048606 -0.29657 0.732409
-0.0494516 -0.303789 0.723471
-0.0515568 -0.30541 0.726071
-0.0473753 -0.305422 0.715001
-0.049687 -0.307122 0.717876
-0.0520161 -0.308433 0.721237
-0.0537349 -0.306642 0.729331
-0.0542415 -0.309449 0.725056
-0.0531344 -0.303721 0.732913
-0.05131 -0.302135 0.730853
-0.0577114 -0.313807 0.720958
-0.0563043 -0.312579 0.722709
-0.0555223 -0.311077 0.725017
-0.0617568 -0.315329 0.7164
-0.0596023 -0.314747 0.718809
-0.0660737 -0.315286 0.710675
-0.0639154 -0.315491 0.713746
-0.0889606 -0.301461 0.673898
-0.0858357 -0.305054 0.679786
-0.082612 -0.308172 0.685883
-0.0916432 -0.302017 0.683252
-0.0880305 -0.30532 0.686941
-0.0849131 -0.308633 0.694182
-0.0818205 -0.311038 0.700477
-0.0795681 -0.310508 0.691832
-0.0768215 -0.312166 0.697248
-0.0914691 -0.304444 0.691809
-0.0886678 -0.3072 0.696096
-0.0915693 -0.30613 0.698201
-0.0856764 -0.310527 0.704741
-0.0909498 -0.297381 0.666262
-0.0936579 -0.297821 0.674528
-0.0919702 -0.292743 0.656107
-0.0946959 -0.293313 0.663555
-0.092138 -0.287301 0.642458
-0.0949097 -0.288144 0.649309
-0.0971639 -0.29404 0.669612
-0.0963518 -0.298419 0.681784
-0.0948534 -0.302029 0.690561
-0.0943679 -0.305033 0.700134
-0.092795 -0.307769 0.707185
-0.0972568 -0.283565 0.638924
-0.0973583 -0.289078 0.654805
-0.0893081 -0.309257 0.705894
-0.0970034 -0.277122 0.62272
-0.070778 -0.314113 0.70335
-0.0683005 -0.314803 0.707071
-0.0737674 -0.313278 0.700544
-0.0974421 -0.23307 0.635911
-0.0921853 -0.233475 0.637479
-0.087254 -0.233604 0.639896
-0.0758114 -0.234172 0.658639
-0.0758514 -0.234932 0.66753
-0.0768439 -0.235589 0.675754
-0.0785187 -0.235999 0.681832
-0.0808614 -0.2364 0.686935
-0.0837972 -0.236825 0.691422
-0.0872469 -0.237261 0.695305
-0.0910614 -0.23767 0.698591
-0.094975 -0.238 0.701166
-0.0987304 -0.238111 0.702544
-0.102193 -0.238103 0.702969
-0.079859 -0.233219 0.645858
-0.0773008 -0.233505 0.651204
-0.0831952 -0.233306 0.642451
-0.054954 -0.304815 0.735586
-0.0484323 -0.29384 0.735216
-0.0461444 -0.283383 0.7342
-0.0463576 -0.287317 0.734358
